timestamp_cet,air_temperature,humidity,wind_gust_max_10min,wind_speed_avg_10min,wind_force_avg_10min,wind_direction,windchill,water_temperature,barometric_pressure_qfe,dew_point
2021-01-01T00:10:00,1.5,92.0,0.9,0.6,1.0,54.0,1.5,6.7,957.1,0.4
2021-01-01T00:20:00,1.6,92.0,1.5,0.8,1.0,40.0,1.6,6.7,957.0,0.5
2021-01-01T00:30:00,1.7,93.0,0.6,0.1,0.0,14.0,1.7,6.7,956.9,0.6
2021-01-01T00:40:00,1.8,92.0,0.8,0.2,0.0,17.0,1.8,6.7,956.9,0.6
2021-01-01T00:50:00,1.8,92.0,0.1,0.0,0.0,44.0,1.8,6.8,956.9,0.7
2021-01-01T01:00:00,1.8,92.0,0.0,0.0,0.0,0.0,1.8,6.7,956.9,0.6
2021-01-01T01:10:00,1.9,92.0,0.0,0.0,0.0,44.0,1.9,6.8,956.9,0.7
2021-01-01T01:20:00,1.9,92.0,1.3,0.2,0.0,298.0,1.9,6.8,956.9,0.8
2021-01-01T01:30:00,2.0,93.0,1.5,0.5,1.0,300.0,2.0,6.8,957.1,1.0
2021-01-01T01:40:00,2.1,94.0,0.9,0.2,0.0,331.0,2.1,6.7,957.1,1.2
2021-01-01T01:50:00,2.1,94.0,0.8,0.1,0.0,44.0,2.1,6.7,957.2,1.2
2021-01-01T02:00:00,2.1,93.0,1.2,0.7,1.0,41.0,2.1,6.7,957.1,1.0
2021-01-01T02:10:00,2.1,92.0,0.4,0.0,0.0,7.0,2.1,6.7,957.2,0.9
2021-01-01T02:20:00,2.1,92.0,0.1,0.0,0.0,83.0,2.1,6.7,957.3,0.9
2021-01-01T02:30:00,2.1,92.0,0.0,0.0,0.0,0.0,2.1,6.7,957.4,1.0
2021-01-01T02:40:00,2.1,92.0,0.0,0.0,0.0,351.0,2.1,6.8,957.4,1.0
2021-01-01T02:50:00,2.2,93.0,1.5,0.4,1.0,314.0,2.2,6.8,957.5,1.2
2021-01-01T03:00:00,2.3,93.0,1.9,0.5,1.0,346.0,2.3,6.8,957.6,1.3
2021-01-01T03:10:00,2.4,93.0,1.8,0.5,1.0,327.0,2.4,6.7,957.6,1.3
2021-01-01T03:20:00,2.4,93.0,1.3,0.5,1.0,351.0,2.4,6.8,957.7,1.3
2021-01-01T03:30:00,2.4,93.0,1.2,0.3,1.0,346.0,2.4,6.7,957.7,1.3
2021-01-01T03:40:00,2.4,93.0,0.0,0.0,0.0,0.0,2.4,6.7,957.7,1.3
2021-01-01T03:50:00,2.3,93.0,0.6,0.2,0.0,70.0,2.3,6.8,957.7,1.3
2021-01-01T04:00:00,2.3,93.0,0.6,0.2,0.0,48.0,2.3,6.7,957.6,1.3
2021-01-01T04:10:00,2.3,93.0,0.6,0.1,0.0,68.0,2.3,6.7,957.6,1.3
2021-01-01T04:20:00,2.3,93.0,0.0,0.0,0.0,0.0,2.3,6.7,957.6,1.3
