timestamp_cet,air_temperature,humidity,wind_gust_max_10min,wind_speed_avg_10min,wind_force_avg_10min,wind_direction,windchill,dew_point
2021-01-01T00:10:00,2.7,92.0,1.4,0.1,0.0,105.0,2.7,1.5
2021-01-01T00:20:00,2.8,90.0,1.0,0.2,0.0,279.0,2.8,1.3
2021-01-01T00:30:00,2.9,89.0,2.2,0.8,1.0,323.0,2.9,1.3
2021-01-01T00:40:00,2.8,89.0,3.7,2.2,2.0,308.0,1.3,1.1
2021-01-01T00:50:00,2.5,90.0,3.3,1.9,2.0,316.0,1.3,1.0
2021-01-01T01:00:00,2.3,91.0,2.5,1.5,1.0,284.0,2.2,1.0
2021-01-01T01:10:00,2.4,91.0,1.6,0.8,1.0,291.0,2.4,1.1
2021-01-01T01:20:00,2.3,91.0,2.5,1.9,2.0,276.0,1.7,1.0
2021-01-01T01:30:00,2.2,92.0,3.1,2.1,2.0,285.0,0.6,1.0
2021-01-01T01:40:00,2.3,92.0,2.4,1.6,2.0,320.0,2.1,1.1
2021-01-01T01:50:00,2.3,92.0,1.7,1.3,1.0,340.0,2.3,1.2
2021-01-01T02:00:00,2.3,92.0,2.4,1.6,2.0,357.0,1.8,1.2
2021-01-01T02:10:00,2.5,92.0,2.0,1.4,1.0,337.0,2.5,1.4
2021-01-01T02:20:00,2.6,92.0,1.5,1.0,1.0,344.0,2.6,1.4
2021-01-01T02:30:00,2.6,92.0,2.5,0.4,1.0,305.0,2.5,1.4
2021-01-01T02:40:00,2.6,92.0,4.0,1.8,2.0,350.0,1.7,1.5
2021-01-01T02:50:00,2.4,92.0,4.3,2.4,2.0,341.0,-0.3,1.3
2021-01-01T03:00:00,2.3,93.0,4.0,2.5,2.0,338.0,-1.0,1.3
2021-01-01T03:10:00,2.3,93.0,3.9,2.0,2.0,324.0,1.1,1.3
2021-01-01T03:20:00,2.4,93.0,2.6,1.3,1.0,328.0,2.2,1.4
2021-01-01T03:30:00,2.5,93.0,1.4,0.6,1.0,329.0,2.5,1.5
2021-01-01T03:40:00,2.6,92.0,1.5,1.0,1.0,327.0,2.6,1.5
2021-01-01T03:50:00,2.7,92.0,1.3,0.5,1.0,349.0,2.7,1.5
2021-01-01T04:00:00,2.7,92.0,1.2,0.6,1.0,280.0,2.7,1.5
2021-01-01T04:10:00,2.6,92.0,1.4,0.9,1.0,178.0,2.6,1.5
2021-01-01T04:20:00,2.6,92.0,1.4,0.6,1.0,222.0,2.6,1.5
2021-01-01T04:30:00,2.8,92.0,1.0,0.2,0.0,125.0,2.8,1.6
2021-01-01T04:40:00,2.8,92.0,1.9,1.2,1.0,41.0,2.8,1.6
2021-01-01T04:50:00,2.9,91.0,0.5,0.1,0.0,56.0,2.9,1.6
2021-01-01T05:00:00,2.9,90.0,1.7,1.3,1.0,103.0,2.9,1.5
2021-01-01T05:10:00,2.8,91.0,2.0,1.4,1.0,183.0,2.8,1.5
2021-01-01T05:20:00,2.7,91.0,2.4,1.7,2.0,286.0,2.5,1.4
2021-01-01T05:30:00,2.7,91.0,2.5,1.3,1.0,318.0,2.7,1.5
2021-01-01T05:40:00,2.7,92.0,1.9,1.4,1.0,351.0,2.7,1.4
2021-01-01T05:50:00,2.6,92.0,2.1,1.4,1.0,359.0,2.6,1.4
2021-01-01T06:00:00,2.5,92.0,2.3,1.2,1.0,323.0,2.5,1.4
2021-01-01T06:10:00,2.6,92.0,1.2,0.4,1.0,279.0,2.6,1.4
2021-01-01T06:20:00,2.6,92.0,1.8,0.7,1.0,286.0,2.6,1.5
2021-01-01T06:30:00,2.5,92.0,2.6,2.0,2.0,283.0,2.1,1.4
2021-01-01T06:40:00,2.4,93.0,2.2,1.3,1.0,282.0,2.3,1.4
2021-01-01T06:50:00,2.4,93.0,1.4,0.8,1.0,323.0,2.4,1.5
2021-01-01T07:00:00,2.5,93.0,1.5,0.5,1.0,282.0,2.5,1.5
2021-01-01T07:10:00,2.6,93.0,2.0,1.4,1.0,309.0,2.6,1.6
2021-01-01T07:20:00,2.5,94.0,1.8,1.2,1.0,328.0,2.5,1.6
2021-01-01T07:30:00,2.5,94.0,1.9,1.4,1.0,324.0,2.5,1.6
2021-01-01T07:40:00,2.4,94.0,2.0,1.4,1.0,323.0,2.4,1.6
